Day,CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude
Tuesday,17030762,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,500 EUCLID AVE,05/30/2017 12:00:00 AM 09:30,37.901879, -122.267142
Tuesday,17028098,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2400 WARRING ST,05/16/2017 12:00:00 AM 00:01,37.867708, -122.250801
Tuesday,17018890,BURGLARY AUTO,BURGLARY - VEHICLE,2700 TENTH ST,04/04/2017 12:00:00 AM 23:30,37.857754, -122.289737
Tuesday,17029857,DOMESTIC VIOLENCE,FAMILY OFFENSE,2000 BANCROFT WAY,05/23/2017 12:00:00 AM 04:00,37.867336, -122.269876
Tuesday,17039721,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,2200 DWIGHT WAY,07/04/2017 12:00:00 AM 11:00,37.864238, -122.265263
Tuesday,17018799,ROBBERY,ROBBERY,2700 PARKER ST,04/04/2017 12:00:00 AM 20:55,37.863938, -122.253735
Tuesday,17019320,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1100 SUTTER ST,04/04/2017 12:00:00 AM 12:00,37.888072, -122.272344
Tuesday,17046316,THEFT FROM AUTO,LARCENY - FROM VEHICLE,900 WILDCAT CANYON RD,08/08/2017 12:00:00 AM 03:15,37.897819, -122.256445
Tuesday,17032429,BURGLARY AUTO,BURGLARY - VEHICLE,2300 FOURTH ST,06/06/2017 12:00:00 AM 15:00,37.862844, -122.298368
Tuesday,17091340,BURGLARY AUTO,BURGLARY - VEHICLE,1700 OXFORD ST,07/11/2017 12:00:00 AM 22:00,37.876881, -122.266666
Tuesday,17091634,THEFT FELONY (OVER $950),LARCENY,2000 CENTER ST,08/08/2017 12:00:00 AM 12:05,37.869973, -122.270557
Tuesday,17091345,IDENTITY THEFT,FRAUD,2800 ELLSWORTH ST,06/06/2017 12:00:00 AM 11:05,37.859195, -122.261915
Tuesday,17091569,VANDALISM,VANDALISM,1300 SIXTH ST,08/08/2017 12:00:00 AM 19:30,37.879335, -122.301332
Tuesday,17026165,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,05/09/2017 12:00:00 AM 11:30,37.880227, -122.26936
Tuesday,17046396,DISTURBANCE,DISORDERLY CONDUCT,2100 M L KING JR WAY,08/08/2017 12:00:00 AM 13:35,Berkeley, CA
Tuesday,17033903,THEFT MISD. (UNDER $950),LARCENY,1700 MCGEE AVE,06/13/2017 12:00:00 AM 09:49,37.875426, -122.278057
Tuesday,17029322,DISTURBANCE,DISORDERLY CONDUCT,1900 SHATTUCK AVE,05/23/2017 12:00:00 AM 22:42,37.873687, -122.268616
Tuesday,17027779,NARCOTICS,DRUG VIOLATION,2800 ADELINE ST,05/16/2017 12:00:00 AM 18:54,37.858079, -122.268016
Tuesday,17038712,THEFT FELONY (OVER $950),LARCENY,1400 DELAWARE ST,07/04/2017 12:00:00 AM 23:10,37.872776, -122.28448
Tuesday,17024614,NARCOTICS,DRUG VIOLATION,1900 ALLSTON WAY,05/02/2017 12:00:00 AM 13:26,37.868785, -122.272701
Tuesday,17047995,ASSAULT/BATTERY FEL.,ASSAULT,2500 DURANT AVE,08/15/2017 12:00:00 AM 20:00,37.867852, -122.258699
Tuesday,17046484,BURGLARY AUTO,BURGLARY - VEHICLE,1700 FOURTH ST,08/08/2017 12:00:00 AM 18:00,37.871268, -122.30106
Tuesday,17048122,BURGLARY AUTO,BURGLARY - VEHICLE,900 ARLINGTON AVE,08/15/2017 12:00:00 AM 17:00,37.891957, -122.274131
Tuesday,17029125,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1000 GILMAN ST,05/23/2017 12:00:00 AM 04:57,37.88015, -122.297446
Tuesday,17026865,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2000 KITTREDGE ST,04/11/2017 12:00:00 AM 15:30,37.868204, -122.270054
Tuesday,17020480,IDENTITY THEFT,FRAUD,1500 SHATTUCK AVE,04/11/2017 12:00:00 AM 17:00,37.880227, -122.26936
Tuesday,17038611,THEFT FELONY (OVER $950),LARCENY,1300 SAN PABLO AVE,07/04/2017 12:00:00 AM 14:30,37.880262, -122.295809
Tuesday,17043435,VEHICLE STOLEN,MOTOR VEHICLE THEFT,2600 BENVENUE AVE,07/25/2017 12:00:00 AM 21:00,37.863522, -122.254992
Tuesday,17022971,ASSAULT/BATTERY MISD.,ASSAULT,1600 JULIA ST,04/25/2017 12:00:00 AM 12:30,37.854442, -122.277107
